LGA_CODE_2016,Tot_P_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,P_Tot_Married,P_Tot_Never_Married,P_Tot_Divorced,Buddhism_P,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_P,Christianity_Brethren_P,Christianity_Catholic_P,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_P,Christianity_Christian_nfd_P,Christianity_Othr_Christian_P,Christianity_Tot_P,Hinduism_P,Islam_P,Judaism_P,P_1_149_Tot,P_150_299_Tot,P_300_399_Tot,P_400_499_Tot,P_500_649_Tot,P_650_799_Tot,P_800_999_Tot,P_1000_1249_Tot,P_1250_1499_Tot,P_1500_1749_Tot,P_1750_1999_Tot,P_2000_2999_Tot,P_3000_more_Tot
LGA10050,51076,3508,6498,6205,6497,6372,4907,2913,18935,14408,4018,515,8647,0,533,116,13079,38,312,178,49,1073,17,104,523,1825,140,204,2139,1073,32,30077,835,242,27,1701,3030,3810,3971,3660,3643,3952,3551,2332,1811,1146,1363,673
LGA10130,29449,2793,3464,3100,3657,3552,2747,1595,10341,9714,1872,313,6726,0,309,141,5947,55,82,77,53,70,3,67,244,1330,165,185,912,575,33,16955,283,463,17,1105,2303,2186,2217,2127,2154,1809,1756,1051,898,613,888,395
LGA10250,41790,1571,3581,4669,5759,6434,5503,3203,17046,10027,3849,313,7966,0,507,3,9168,26,105,238,59,114,5,131,519,1775,90,220,1809,920,63,23709,95,48,49,1393,2351,3720,3774,3474,3253,2964,2663,1541,1312,966,1114,719
LGA10300,2287,132,233,276,290,377,202,131,897,608,132,16,341,0,4,0,810,5,0,3,0,15,0,5,11,156,0,0,68,58,0,1486,10,7,0,44,101,163,157,159,171,187,150,82,46,23,52,28
LGA10470,41300,3148,5171,4878,5238,4991,3862,2019,14936,12365,2885,307,7893,0,524,166,12833,43,147,126,61,79,14,148,260,1723,115,69,1512,631,15,26367,202,183,14,1315,2422,2761,2961,2712,2675,2776,2645,1843,1565,1150,1372,499
LGA10550,33253,1189,2482,3120,4648,6154,5060,2546,13807,7808,3296,342,7277,0,361,3,5949,16,98,212,58,111,3,82,82,950,80,111,1245,649,35,17322,55,26,27,1228,2389,3360,3238,2736,2497,2393,2072,1199,851,582,602,307
LGA10600,12668,396,953,1324,1824,2240,1718,924,4698,3228,1402,210,2392,0,65,0,1859,7,10,26,0,18,0,36,143,345,21,28,636,268,28,5897,25,16,31,441,898,1241,1314,1085,934,815,701,404,303,246,254,110
LGA10650,8462,331,747,843,936,1304,1370,739,3679,1772,690,19,1626,0,23,0,2239,0,20,21,101,36,0,17,52,547,12,0,628,130,8,5464,23,13,3,271,584,895,771,696,571,561,477,272,208,139,150,88
LGA10750,336962,22830,52249,51402,42063,33702,21536,9674,136045,87055,17266,5731,35864,171,4499,106,98278,946,6025,1186,2344,458,3648,3124,7563,5987,501,1827,6278,10681,375,189864,28781,22645,151,10676,17769,20500,18413,17261,20533,24752,25290,16708,12848,8654,11173,3481
LGA10800,5955,267,588,680,709,866,626,442,2544,1300,326,21,1484,0,33,0,1545,3,8,34,3,86,3,32,22,406,28,6,391,214,0,4303,16,4,0,155,331,479,461,440,342,371,338,210,183,108,154,107
LGA10850,7257,324,707,861,1029,1014,759,426,2904,1728,557,26,1750,0,106,0,2066,0,11,10,3,16,0,42,62,315,9,16,490,138,3,5056,5,9,0,250,427,574,554,444,475,487,475,264,269,194,244,101
LGA10900,76904,3631,6985,9687,10982,11758,9280,4107,30869,19978,6607,1018,13094,6,2055,227,15171,87,553,291,172,251,33,284,874,2098,171,157,2229,2265,118,40131,218,187,156,2842,4093,5000,5814,5198,4747,5051,5126,3781,3462,2790,3840,1570
LGA10950,2692,155,317,296,394,280,284,187,993,742,138,9,683,0,25,0,943,0,3,5,0,13,0,9,6,66,4,3,232,36,0,2024,3,22,0,59,153,191,216,153,132,167,177,108,106,68,84,57
LGA11100,46654,3793,8770,7156,5846,4430,3269,2052,17403,15508,2967,1813,3618,217,352,4,13851,13,3319,74,143,49,239,192,566,709,25,43,570,1113,25,25124,1003,3016,740,1226,2259,2972,2849,2538,2800,3319,3512,2546,2037,1509,2250,992
LGA11150,2634,159,369,294,401,309,209,110,767,930,127,10,467,0,28,0,964,0,7,14,0,3,4,3,30,96,3,0,52,67,3,1733,14,6,0,39,141,139,137,111,151,176,157,97,89,66,67,26
LGA11200,1651,123,231,155,270,216,110,45,323,778,68,3,346,0,6,20,436,0,4,0,0,3,0,9,6,27,0,7,24,37,0,918,6,0,0,41,169,180,128,68,93,80,65,43,40,24,29,6
LGA11250,17708,962,2114,1861,2356,2663,2049,1219,6089,5202,1612,90,2176,0,197,0,4099,30,54,28,49,168,11,166,81,178,190,30,1636,293,5,9402,45,40,8,498,1302,1807,1688,1208,1069,942,975,657,542,477,605,182
LGA11300,36809,4403,7860,4385,4337,3615,2484,1798,14564,13319,1969,2491,1650,8,355,6,9072,32,1557,82,29,34,152,94,217,1018,50,23,522,700,21,15626,2769,579,22,1263,2078,2674,2553,2200,2168,2479,2521,1595,1299,973,1581,846
LGA11350,31556,1194,3390,4381,4879,5482,3371,1270,9753,10435,3801,794,3074,0,121,0,3952,4,112,85,9,57,0,53,218,689,18,85,887,424,18,9791,77,42,287,985,1759,2476,2810,2621,2314,2193,1874,1112,835,566,761,601
LGA11400,13386,513,1193,1555,1887,1782,1559,792,5901,2787,800,66,3565,0,307,80,3739,9,13,7,8,26,0,82,121,407,30,22,1039,291,4,9733,0,10,3,412,668,1045,985,879,889,860,823,522,479,312,464,261
LGA11450,78218,4846,11903,11954,9839,7377,4977,2292,32954,18190,4170,876,16729,176,979,105,26876,66,1550,295,250,212,207,280,1036,1312,146,207,1855,1844,106,54231,961,1557,46,2363,3140,3885,3688,3983,4498,5365,6224,4670,3932,2907,3803,1325
LGA11500,157006,11451,23307,21097,19566,18553,12079,4780,58312,44034,10364,4041,23828,62,2401,232,41741,137,2726,771,1612,334,950,1051,2592,3030,290,788,2765,4438,234,89979,7033,12434,67,5061,9041,10817,9793,9208,10608,12221,11667,7455,5492,3292,3781,1132
LGA11520,88015,6281,16685,13340,11236,9267,6867,4023,37469,25900,5266,2729,6915,37,691,7,29810,29,3681,211,65,155,418,239,591,2458,42,86,1521,1296,48,48294,2546,1439,189,2459,3686,4474,4325,4086,4210,5245,6244,4731,4616,3513,6513,5341
LGA11570,346302,24494,53063,46854,43804,36941,24897,15862,141340,87696,21802,21215,19580,113,3887,23,81073,238,30724,817,678,421,2574,1390,2679,4689,435,542,4363,7448,330,161996,6578,71894,171,11796,24144,27951,24011,20481,20787,22090,21325,13338,9913,6594,8597,3490
LGA11600,2719,155,362,328,397,382,204,135,1088,751,129,10,607,0,47,0,759,0,4,3,0,17,0,3,12,111,6,4,259,55,0,1898,32,0,3,76,112,193,215,183,193,214,214,136,82,44,61,52
LGA11650,327736,18174,35278,39376,43630,42364,36591,21691,123900,84675,29266,3179,73814,26,5621,239,81002,429,2148,1354,769,753,201,3079,3467,8656,893,1419,10510,7043,355,201779,1158,1030,356,11137,18916,27707,27871,23588,22112,22635,21490,13717,11450,7987,10253,4942
LGA11700,1833,108,249,201,249,268,197,73,495,728,126,3,257,0,4,0,538,3,0,3,0,12,4,8,6,34,3,4,82,18,0,984,3,0,0,37,175,144,160,90,88,88,80,44,36,32,29,25
LGA11720,55560,3443,7149,6867,6988,7177,5519,2538,19658,15498,4457,318,14714,0,626,3,11209,26,117,189,174,66,4,306,409,1968,301,233,2992,947,29,34333,125,68,19,1705,3611,5122,4694,3611,3546,3343,3129,1870,1468,1056,1754,693
LGA11730,50671,2047,4148,5145,6710,8345,7399,3989,19967,12474,4794,361,13037,0,669,5,10133,4,78,338,80,117,8,137,281,3036,248,133,1859,939,21,31119,69,43,13,1684,4047,6181,5425,4045,3685,3123,2471,1363,1093,738,792,397
LGA11750,4647,257,708,588,586,591,350,212,1656,1303,306,15,840,0,100,0,1567,0,3,13,0,11,0,7,13,108,5,6,292,64,14,3054,15,30,0,118,210,293,285,226,229,222,236,165,199,149,316,124
LGA11800,72944,3688,7649,8219,9633,10689,8512,4793,27894,18379,6815,764,14147,0,1243,10,14133,54,190,470,99,194,28,260,1161,2710,192,226,2366,1871,84,39446,228,466,50,2400,4846,6758,6346,5637,5557,5320,4313,2694,1981,1401,1578,795
LGA12000,4315,200,354,457,594,554,550,344,1842,935,250,22,879,0,57,0,1361,3,4,9,5,23,0,13,33,166,4,5,374,97,3,3035,3,5,0,139,255,372,292,264,269,294,287,134,137,95,92,80
LGA12150,3918,215,440,378,568,546,439,239,1293,1250,224,14,1254,0,11,0,1053,0,4,13,0,9,3,5,7,201,0,3,102,23,0,2698,11,8,0,90,253,386,301,259,249,217,189,130,85,48,50,56
LGA12350,12460,655,1071,1261,1663,1812,1673,996,4884,3138,1034,58,3258,0,170,154,3612,0,37,117,52,22,0,26,72,622,43,12,518,268,14,8995,14,3,3,362,889,1392,1212,949,996,829,663,371,297,196,196,130
LGA12380,216079,17158,42160,30455,24715,20582,13403,7431,91536,55455,11355,9290,9889,162,2216,62,51846,127,5544,447,449,132,880,771,2012,3176,206,450,2898,4592,288,86135,22025,47286,52,7276,15116,16194,14295,12276,13234,14748,13570,8407,6196,3971,5078,1683
LGA12700,8975,373,815,1000,1320,1447,1058,559,3953,2024,705,61,2755,0,209,0,1615,3,14,3,4,17,0,50,36,462,17,19,523,131,3,5866,8,4,0,327,569,743,738,656,569,568,558,341,274,227,289,162
LGA12730,8851,477,865,977,1119,1362,1010,671,3420,2299,714,28,1533,0,127,0,2136,5,32,36,5,34,0,12,17,401,26,0,856,137,0,5359,20,6,5,270,547,758,719,635,644,656,582,324,266,150,213,97
LGA12750,37232,1278,2615,3405,4667,6778,6609,3382,15911,8224,3893,322,8337,0,345,0,7989,17,191,254,43,174,9,97,236,1191,108,57,1239,638,26,20946,71,46,26,1251,2661,4318,3883,3281,2901,2595,2136,1200,780,536,613,360
LGA12850,198817,15335,27090,24772,27133,24942,15253,8601,77345,54579,13775,41136,7355,7485,2488,7,61408,58,7763,707,949,209,1242,815,1594,1103,122,622,1318,7198,144,102580,1473,11797,21,7489,18020,20315,15278,11532,12309,12933,11282,6580,4407,2560,2767,1050
LGA12870,12277,518,985,1198,1542,1883,1875,1093,5356,2653,950,63,2474,0,149,3,3292,3,19,23,7,100,0,20,50,857,15,13,693,141,10,7874,26,20,0,357,758,1218,1127,978,806,902,818,491,336,194,213,103
LGA12900,9587,481,1001,984,1236,1221,1122,710,3723,2418,615,25,2372,0,180,6,3293,0,21,14,0,35,0,14,73,387,37,5,461,111,3,7030,13,18,4,284,522,837,819,688,711,640,577,329,268,162,201,94
LGA12930,146841,11199,24425,19243,19255,16677,11582,7179,64949,39732,8286,7033,12749,13,2599,11,31319,107,14710,368,261,159,1660,806,1120,2471,227,136,2458,3620,206,74996,6700,5636,210,5299,7872,9545,9038,8666,9029,10293,10484,7030,5887,4152,6280,3636
LGA12950,4236,216,410,428,552,607,511,354,1716,1081,258,10,1122,0,37,0,989,3,9,28,4,58,0,26,115,427,3,5,232,63,8,3131,3,4,0,126,277,422,365,342,303,288,215,133,103,84,63,50
LGA13010,8836,386,809,929,1072,1368,1297,706,3429,2196,790,38,2618,0,130,0,1772,3,14,43,11,17,0,12,73,361,58,40,457,178,3,5794,31,24,7,290,714,948,953,671,633,538,424,206,161,102,129,60
LGA13310,29609,1669,3567,3518,4040,3954,3250,1760,11235,8160,2278,223,7577,0,365,127,8262,6,204,86,36,64,18,53,125,657,92,88,1199,453,32,19432,120,113,9,931,1661,2278,2328,2052,2063,2031,1995,1204,1034,756,898,306
LGA13340,10351,399,887,1084,1429,1573,1241,558,4487,2137,726,37,2005,0,129,0,2258,5,23,18,14,946,4,25,258,514,22,25,650,275,3,7173,5,13,7,354,574,811,776,775,670,763,668,433,295,207,207,146
LGA13450,25641,1537,3518,3097,3323,3035,2050,1418,10515,6559,1206,122,3344,0,179,71,10125,0,40,87,102,96,20,149,255,723,62,226,1384,371,15,17252,492,509,7,784,1282,1633,1612,1647,2024,2181,1697,1023,757,491,592,318
LGA13510,11141,482,972,1174,1377,1636,1514,969,4681,2594,822,27,3477,0,116,0,3513,3,21,30,0,27,0,16,26,365,26,15,559,174,5,8376,19,5,6,328,698,1180,1067,883,801,809,646,354,247,193,226,150
LGA13550,12215,664,1520,1376,1532,1573,1192,801,4664,3133,744,40,3623,0,154,0,3204,0,22,15,5,48,0,13,70,600,67,38,459,171,3,8483,14,22,3,358,710,979,1001,796,778,822,686,475,385,299,467,247
LGA13660,5258,229,440,520,737,739,773,441,2261,1106,384,17,2028,0,25,0,1073,4,5,0,0,26,0,11,14,338,22,13,207,75,5,3830,7,0,3,134,381,564,490,362,344,357,292,154,87,79,80,51
LGA13800,64592,4387,8030,8115,9554,7833,5571,2640,25506,17375,4723,405,15877,7,1165,198,17768,87,631,276,169,153,11,161,839,1478,133,128,2155,1291,55,42579,103,206,59,2067,3203,3835,3973,4031,4161,4739,5038,3478,2922,1984,2532,998
LGA13850,2946,150,297,277,461,424,358,233,1212,766,189,6,732,0,24,0,946,0,18,0,0,7,4,5,22,173,0,0,105,15,0,2040,12,6,0,91,169,237,238,201,203,203,194,116,78,46,67,36
LGA13910,18498,899,1683,2018,2439,2535,2396,1254,7340,4499,1335,72,4795,0,165,109,6372,0,66,61,3,57,0,28,34,622,67,49,846,275,11,13557,26,276,5,605,1173,1797,1720,1432,1390,1324,1026,545,454,299,357,222
LGA14000,142667,8372,14697,20695,21080,17202,12158,7073,67497,32046,7197,4346,22070,11,3406,117,30595,207,1426,251,250,432,376,764,1774,3931,159,883,5641,3405,164,75853,6515,2076,370,5931,6546,6881,7119,7294,7295,8269,9215,7192,6679,5321,10189,6918
LGA14100,13999,686,1134,1699,2004,1640,1425,856,5989,3511,844,233,1968,0,55,0,4972,5,540,17,4,40,59,40,102,290,5,27,290,141,18,8570,103,111,311,436,501,576,561,595,527,587,735,590,615,471,938,1701
LGA14170,182043,12739,36902,31754,25239,18512,12191,6838,59652,71944,12902,6565,12988,32,983,11,40730,62,7696,295,109,357,339,496,769,2345,136,165,2231,2364,114,72208,4407,2534,769,4459,7623,9352,9901,8749,9177,11343,13316,10671,9935,7651,14388,11563
LGA14200,16483,898,1710,1754,2064,2192,1921,1165,6250,4282,1128,68,4693,0,94,0,3532,26,15,81,14,21,3,16,137,1084,214,62,810,446,34,11288,12,14,4,507,1209,1655,1502,1177,1246,1185,900,441,324,257,233,134
LGA14300,6295,400,870,851,840,862,624,279,2410,1856,411,18,1321,0,87,0,1757,3,3,5,7,23,0,8,15,235,14,8,234,70,0,3797,9,6,3,121,315,481,440,379,412,394,324,216,160,84,133,61
LGA14350,28885,1336,2675,2892,3719,4723,4042,1997,10488,7762,2682,205,6390,0,221,0,6365,14,53,198,32,45,0,70,270,803,170,535,1701,418,7,17305,34,32,3,943,2184,3387,3045,2219,2056,1652,1418,700,458,362,354,198
LGA14400,21464,1058,1853,2350,2828,3466,2846,1498,10228,4528,1511,178,4689,0,247,0,5251,12,153,102,8,65,5,54,109,649,23,22,1210,435,10,13048,33,28,23,816,1160,1496,1549,1589,1314,1384,1456,1054,952,702,1069,542
LGA14500,118053,6638,9662,15085,18515,13543,10518,6907,57718,25201,4600,3113,22251,3,1248,16,22353,75,1244,82,92,359,361,503,1065,3467,77,426,5578,2257,122,61577,2194,856,3161,5176,4671,4206,4385,4935,4696,5715,6525,5186,5078,4103,8840,12942
LGA14550,8940,329,633,855,1358,1747,1217,594,3401,2294,940,116,1505,0,55,4,1624,4,14,68,4,16,0,30,137,477,29,53,634,227,25,4909,28,6,11,328,745,1080,1020,697,613,510,431,205,167,95,117,74
LGA14600,6194,346,738,654,708,814,651,447,2319,1630,362,22,1458,0,28,165,1578,0,20,12,3,18,6,18,73,354,6,20,407,170,3,4337,25,3,0,132,379,548,480,456,379,399,354,188,157,99,114,85
LGA14650,197371,10893,21737,23628,26085,26105,22286,12635,80629,48981,15397,1593,42017,0,4432,141,41064,119,1432,816,421,468,44,837,2643,5835,957,3531,11681,4791,471,121703,655,494,86,6939,11664,17222,16807,13953,12961,13275,13546,8505,7287,5179,7096,3371
