LGA_CODE,LGA_NAME,one_br,two_br,three_br,four_or_more_br,bedsitter,not_specified
LGA10050,Albury,178.0,235.0,310.0,400.0,0.0,0.0
LGA10130,Armidale Regional,181.0,250.0,348.0,420.0,0.0,0.0
LGA10250,Ballina,298.0,380.0,500.0,625.0,0.0,0.0
LGA10470,Bathurst Regional,215.0,280.0,340.0,420.0,0.0,350.0
LGA10550,Bega Valley,210.0,300.0,360.0,440.0,0.0,0.0
LGA10600,Bellingen,0.0,300.0,385.0,463.0,0.0,0.0
LGA10650,Berrigan,0.0,165.0,250.0,340.0,0.0,0.0
LGA10750,Blacktown,280.0,370.0,420.0,560.0,0.0,400.0
LGA10850,Blayney,0.0,0.0,288.0,0.0,0.0,0.0
LGA10900,Blue Mountains,295.0,370.0,430.0,550.0,0.0,0.0
LGA11150,Bourke,0.0,0.0,255.0,0.0,0.0,0.0
LGA11250,Broken Hill,193.0,220.0,250.0,320.0,0.0,0.0
LGA11300,Burwood,480.0,580.0,680.0,820.0,320.0,565.0
LGA11350,Byron,355.0,510.0,650.0,850.0,0.0,0.0
LGA11400,Cabonne,0.0,0.0,300.0,350.0,0.0,0.0
LGA11450,Camden,313.0,350.0,450.0,530.0,0.0,495.0
LGA11500,Campbelltown,270.0,350.0,400.0,500.0,0.0,383.0
LGA11520,Canada Bay,500.0,600.0,750.0,875.0,0.0,550.0
LGA11570,Canterbury-Bankstown,370.0,420.0,550.0,680.0,270.0,450.0
LGA11650,Central Coast,280.0,360.0,430.0,545.0,0.0,370.0
LGA11720,Cessnock,205.0,300.0,350.0,430.0,0.0,0.0
LGA11730,Clarence Valley,220.0,313.0,373.0,460.0,0.0,0.0
LGA11750,Cobar,0.0,180.0,250.0,305.0,0.0,0.0
LGA11800,Coffs Harbour,285.0,330.0,420.0,500.0,0.0,350.0
LGA13510,Gundagai,0.0,220.0,270.0,0.0,0.0,0.0
LGA12350,Cowra,0.0,213.0,260.0,0.0,0.0,0.0
LGA12380,Cumberland,350.0,430.0,510.0,640.0,0.0,450.0
LGA18230,Western Plains Regional,220.0,270.0,330.0,390.0,0.0,0.0
LGA12700,Dungog,0.0,0.0,350.0,0.0,0.0,0.0
LGA12730,Edward River,120.0,160.0,260.0,0.0,0.0,0.0
LGA12750,Eurobodalla,200.0,290.0,380.0,480.0,0.0,0.0
LGA12850,Fairfield,260.0,350.0,450.0,550.0,0.0,415.0
LGA12870,Federation,0.0,230.0,283.0,315.0,0.0,0.0
LGA12900,Forbes,0.0,200.0,270.0,300.0,0.0,0.0
LGA12930,Georges River,410.0,480.0,600.0,780.0,310.0,500.0
LGA13010,Glen Innes Severn,0.0,213.0,250.0,0.0,0.0,0.0
LGA13310,Goulburn Mulwaree,0.0,300.0,360.0,440.0,0.0,0.0
LGA13340,Greater Hume Shire,0.0,0.0,290.0,0.0,0.0,0.0
LGA13450,Griffith,180.0,260.0,340.0,400.0,0.0,330.0
LGA13550,Gunnedah,170.0,250.0,340.0,430.0,0.0,0.0
LGA13800,Hawkesbury,230.0,340.0,420.0,550.0,0.0,500.0
LGA13910,Hilltops,0.0,230.0,275.0,300.0,0.0,0.0
LGA14000,Hornsby,413.0,490.0,600.0,750.0,0.0,458.0
LGA14100,Hunters Hill,445.0,560.0,935.0,1450.0,0.0,0.0
LGA14170,Inner West,430.0,590.0,850.0,1050.0,340.0,540.0
LGA14200,Inverell,175.0,230.0,300.0,330.0,0.0,295.0
LGA14300,Junee,0.0,0.0,290.0,0.0,0.0,0.0
LGA14350,Kempsey,220.0,280.0,350.0,380.0,0.0,310.0
LGA14400,Kiama,400.0,450.0,520.0,628.0,0.0,0.0
LGA14500,Ku-Ring-Gai,480.0,595.0,820.0,1100.0,0.0,723.0
LGA14550,Kyogle,0.0,250.0,300.0,0.0,0.0,0.0
LGA14650,Lake Macquarie,260.0,350.0,420.0,520.0,0.0,410.0
LGA14700,Lane Cove,515.0,590.0,850.0,1280.0,0.0,415.0
LGA14750,Leeton,0.0,200.0,300.0,320.0,0.0,0.0
LGA14850,Lismore,210.0,283.0,380.0,460.0,0.0,0.0
LGA14870,Lithgow,0.0,270.0,300.0,390.0,0.0,0.0
LGA14900,Liverpool,325.0,390.0,470.0,580.0,0.0,420.0
LGA14920,Liverpool Plains,0.0,190.0,260.0,0.0,0.0,0.0
LGA15050,Maitland,210.0,310.0,380.0,460.0,0.0,380.0
LGA15240,Mid-Coast,210.0,295.0,360.0,440.0,0.0,268.0
LGA15270,Mid-Western Regional,240.0,298.0,380.0,430.0,0.0,0.0
LGA15300,Moree Plains,0.0,185.0,300.0,310.0,0.0,0.0
LGA15350,Mosman,480.0,650.0,1150.0,2000.0,0.0,750.0
LGA15520,Murray River,0.0,260.0,343.0,0.0,0.0,0.0
LGA15650,Muswellbrook,0.0,250.0,320.0,400.0,0.0,355.0
LGA15700,Nambucca,0.0,280.0,360.0,430.0,0.0,0.0
LGA15750,Narrabri,210.0,220.0,345.0,380.0,0.0,0.0
LGA15800,Narrandera,0.0,185.0,250.0,0.0,0.0,0.0
LGA15850,Narromine,0.0,0.0,260.0,0.0,0.0,0.0
LGA15900,Newcastle,260.0,400.0,450.0,540.0,0.0,335.0
LGA15950,North Sydney,500.0,680.0,950.0,1425.0,440.0,608.0
LGA15990,Northern Beaches,495.0,643.0,900.0,1150.0,495.0,500.0
LGA16100,Oberon,0.0,0.0,330.0,0.0,0.0,0.0
LGA16150,Orange,220.0,273.0,350.0,430.0,0.0,373.0
LGA16200,Parkes,0.0,230.0,290.0,365.0,0.0,0.0
LGA16260,Parramatta,450.0,480.0,550.0,700.0,0.0,430.0
LGA16350,Penrith,300.0,350.0,410.0,520.0,380.0,380.0
LGA16380,Port Macquarie-Hastings,231.0,330.0,420.0,515.0,0.0,400.0
LGA16400,Port Stephens,240.0,320.0,400.0,500.0,0.0,0.0
LGA16490,Queanbeyan-Palerang Regional,240.0,350.0,480.0,658.0,0.0,0.0
LGA16550,Randwick,495.0,640.0,850.0,1250.0,420.0,430.0
LGA16610,Richmond Valley,0.0,285.0,350.0,450.0,0.0,0.0
LGA16700,Ryde,470.0,500.0,655.0,835.0,0.0,600.0
LGA16900,Shellharbour,280.0,370.0,470.0,560.0,0.0,0.0
LGA16950,Shoalhaven,250.0,320.0,380.0,470.0,0.0,320.0
LGA17000,Singleton,0.0,280.0,380.0,460.0,0.0,415.0
LGA17040,Snowy Monaro Regional,360.0,380.0,435.0,650.0,0.0,0.0
LGA17080,Snowy Valleys,0.0,230.0,280.0,335.0,0.0,0.0
LGA17100,Strathfield,440.0,510.0,620.0,870.0,0.0,500.0
LGA17150,Sutherland Shire,400.0,480.0,650.0,848.0,0.0,580.0
LGA17200,Sydney,560.0,780.0,1000.0,1170.0,430.0,585.0
LGA17310,Tamworth Regional,195.0,263.0,320.0,395.0,0.0,300.0
LGA17350,Temora,0.0,0.0,270.0,0.0,0.0,0.0
LGA17400,Tenterfield,0.0,200.0,260.0,0.0,0.0,0.0
LGA17420,The Hills Shire,405.0,495.0,570.0,670.0,0.0,580.0
LGA17550,Tweed,295.0,403.0,495.0,600.0,0.0,420.0
LGA17620,Upper Hunter Shire,0.0,230.0,320.0,380.0,0.0,0.0
LGA17650,Uralla,0.0,0.0,295.0,0.0,0.0,0.0
LGA17750,Wagga Wagga,191.0,240.0,330.0,420.0,0.0,0.0
LGA17900,Walgett,0.0,0.0,250.0,0.0,0.0,0.0
LGA17950,Warren,0.0,0.0,300.0,0.0,0.0,0.0
LGA18020,Warrumbungle Shire,0.0,175.0,235.0,0.0,0.0,0.0
LGA18050,Waverley,550.0,750.0,1100.0,1473.0,425.0,650.0
LGA18200,Wentworth,0.0,0.0,300.0,110.0,0.0,0.0
LGA18250,Willoughby,525.0,650.0,900.0,1200.0,405.0,625.0
LGA18350,Wingecarribee,310.0,365.0,460.0,565.0,0.0,0.0
LGA18400,Wollondilly,0.0,330.0,430.0,520.0,0.0,455.0
LGA18450,Wollongong,290.0,380.0,490.0,600.0,87.0,270.0
LGA18500,Woollahra,538.0,725.0,1200.0,2000.0,373.0,550.0
LGA18710,Yass Valley,0.0,320.0,380.0,520.0,0.0,0.0
