LGA_CODE,LGA_NAME,flat,house,other,townhouse
LGA10050,Albury,210.0,320.0,0.0,305.0
LGA10130,Armidale Regional,250.0,350.0,0.0,0.0
LGA10250,Ballina,370.0,573.0,380.0,465.0
LGA10470,Bathurst Regional,260.0,370.0,300.0,330.0
LGA10550,Bega Valley,300.0,360.0,0.0,360.0
LGA10600,Bellingen,235.0,400.0,0.0,0.0
LGA10650,Berrigan,150.0,250.0,0.0,0.0
LGA10750,Blacktown,370.0,450.0,373.0,450.0
LGA10800,Bland,0.0,253.0,0.0,0.0
LGA10850,Blayney,0.0,300.0,0.0,0.0
LGA10900,Blue Mountains,330.0,430.0,0.0,410.0
LGA10950,Bogan,0.0,260.0,0.0,0.0
LGA11150,Bourke,0.0,260.0,0.0,0.0
LGA11250,Broken Hill,185.0,250.0,0.0,0.0
LGA11300,Burwood,550.0,700.0,475.0,620.0
LGA11350,Byron,470.0,675.0,498.0,610.0
LGA11400,Cabonne,0.0,300.0,0.0,0.0
LGA11450,Camden,340.0,503.0,400.0,435.0
LGA11500,Campbelltown,350.0,420.0,360.0,360.0
LGA11520,Canada Bay,580.0,730.0,530.0,685.0
LGA11570,Canterbury-Bankstown,415.0,550.0,420.0,590.0
LGA11600,Carrathool,0.0,225.0,0.0,0.0
LGA11650,Central Coast,350.0,440.0,335.0,425.0
LGA11720,Cessnock,300.0,390.0,285.0,348.0
LGA11730,Clarence Valley,290.0,380.0,0.0,365.0
LGA11750,Cobar,160.0,250.0,0.0,0.0
LGA11800,Coffs Harbour,330.0,445.0,370.0,400.0
LGA12000,Coolamon,0.0,260.0,0.0,0.0
LGA13510,Gundagai,198.0,270.0,0.0,0.0
LGA12350,Cowra,190.0,265.0,0.0,0.0
LGA12380,Cumberland,430.0,500.0,450.0,530.0
LGA18230,Western Plains Regional,240.0,340.0,290.0,300.0
LGA12700,Dungog,0.0,360.0,0.0,0.0
LGA12730,Edward River,150.0,270.0,0.0,0.0
LGA12750,Eurobodalla,280.0,390.0,290.0,360.0
LGA12850,Fairfield,340.0,480.0,380.0,440.0
LGA12870,Federation,185.0,270.0,0.0,0.0
LGA12900,Forbes,205.0,268.0,0.0,0.0
LGA12930,Georges River,490.0,590.0,490.0,650.0
LGA12950,Gilgandra,150.0,250.0,0.0,0.0
LGA13010,Glen Innes Severn,160.0,245.0,0.0,0.0
LGA13310,Goulburn Mulwaree,260.0,370.0,360.0,330.0
LGA13340,Greater Hume Shire,0.0,278.0,0.0,0.0
LGA13450,Griffith,260.0,350.0,325.0,330.0
LGA13550,Gunnedah,240.0,360.0,200.0,0.0
LGA13660,Gwydir,0.0,220.0,0.0,0.0
LGA13800,Hawkesbury,340.0,450.0,290.0,400.0
LGA13910,Hilltops,220.0,275.0,0.0,0.0
LGA14000,Hornsby,465.0,660.0,460.0,580.0
LGA14100,Hunters Hill,480.0,1075.0,0.0,750.0
LGA14170,Inner West,500.0,780.0,500.0,710.0
LGA14200,Inverell,190.0,300.0,0.0,320.0
LGA14300,Junee,0.0,300.0,0.0,0.0
LGA14350,Kempsey,265.0,350.0,260.0,350.0
LGA14400,Kiama,435.0,550.0,0.0,490.0
LGA14500,Ku-Ring-Gai,580.0,958.0,670.0,835.0
LGA14550,Kyogle,0.0,300.0,0.0,0.0
LGA14650,Lake Macquarie,330.0,430.0,360.0,420.0
LGA14700,Lane Cove,550.0,910.0,520.0,720.0
LGA14750,Leeton,200.0,300.0,0.0,0.0
LGA14850,Lismore,260.0,385.0,0.0,310.0
LGA14870,Lithgow,220.0,300.0,0.0,0.0
LGA14900,Liverpool,390.0,500.0,400.0,465.0
LGA14920,Liverpool Plains,165.0,260.0,0.0,0.0
LGA15050,Maitland,290.0,420.0,350.0,350.0
LGA15240,Mid-Coast,280.0,360.0,320.0,350.0
LGA15270,Mid-Western Regional,300.0,385.0,390.0,423.0
LGA15300,Moree Plains,180.0,280.0,0.0,0.0
LGA15350,Mosman,593.0,1550.0,0.0,930.0
LGA15520,Murray River,0.0,348.0,0.0,0.0
LGA15650,Muswellbrook,223.0,378.0,380.0,0.0
LGA15700,Nambucca,253.0,365.0,0.0,0.0
LGA15750,Narrabri,215.0,350.0,0.0,0.0
LGA15800,Narrandera,0.0,240.0,0.0,0.0
LGA15850,Narromine,0.0,270.0,0.0,0.0
LGA15900,Newcastle,360.0,448.0,185.0,448.0
LGA15950,North Sydney,610.0,1000.0,560.0,900.0
LGA15990,Northern Beaches,595.0,950.0,663.0,818.0
LGA16100,Oberon,0.0,340.0,0.0,0.0
LGA16150,Orange,260.0,380.0,340.0,345.0
LGA16200,Parkes,200.0,300.0,0.0,0.0
LGA16260,Parramatta,480.0,550.0,455.0,550.0
LGA16350,Penrith,360.0,430.0,340.0,400.0
LGA16380,Port Macquarie-Hastings,320.0,440.0,370.0,380.0
LGA16400,Port Stephens,320.0,430.0,350.0,400.0
LGA16490,Queanbeyan-Palerang Regional,300.0,548.0,325.0,430.0
LGA16550,Randwick,600.0,950.0,500.0,900.0
LGA16610,Richmond Valley,275.0,350.0,300.0,0.0
LGA16700,Ryde,490.0,650.0,550.0,600.0
LGA16900,Shellharbour,340.0,490.0,440.0,480.0
LGA16950,Shoalhaven,295.0,390.0,365.0,365.0
LGA17000,Singleton,285.0,415.0,0.0,0.0
LGA17040,Snowy Monaro Regional,478.0,380.0,0.0,1180.0
LGA17080,Snowy Valleys,210.0,270.0,0.0,0.0
LGA17100,Strathfield,500.0,680.0,480.0,655.0
LGA17150,Sutherland Shire,470.0,680.0,495.0,650.0
LGA17200,Sydney,650.0,793.0,515.0,850.0
LGA17310,Tamworth Regional,250.0,340.0,300.0,300.0
LGA17350,Temora,0.0,270.0,0.0,0.0
LGA17400,Tenterfield,0.0,260.0,0.0,0.0
LGA17420,The Hills Shire,500.0,625.0,490.0,570.0
LGA17550,Tweed,400.0,530.0,400.0,480.0
LGA17620,Upper Hunter Shire,228.0,300.0,0.0,0.0
LGA17640,Upper Lachlan Shire,0.0,320.0,0.0,0.0
LGA17650,Uralla,0.0,293.0,0.0,0.0
LGA17750,Wagga Wagga,230.0,340.0,310.0,320.0
LGA17900,Walgett,175.0,250.0,0.0,0.0
LGA17950,Warren,0.0,300.0,0.0,0.0
LGA18020,Warrumbungle Shire,0.0,230.0,0.0,0.0
LGA18050,Waverley,695.0,1200.0,690.0,998.0
LGA18200,Wentworth,0.0,110.0,0.0,0.0
LGA18250,Willoughby,595.0,900.0,660.0,680.0
LGA18350,Wingecarribee,350.0,495.0,0.0,500.0
LGA18400,Wollondilly,320.0,450.0,400.0,410.0
LGA18450,Wollongong,365.0,500.0,293.0,478.0
LGA18500,Woollahra,700.0,1283.0,720.0,1100.0
LGA18710,Yass Valley,0.0,410.0,0.0,0.0
