LGA_CODE,land_area,bus_stop,coach_stop,light_rail,train_station,wharf,all_bus_stops,all_train_stations,all_transpo,ntl17_count,ntl17_min,ntl17_mean,ntl17_max,ntl17_sum,ntl19_count,ntl19_min,ntl19_mean,ntl19_max,ntl19_sum
LGA10050,305.9459,90.0,0.0,0.0,1.0,0.0,90.0,1.0,91.0,1766,0.14000000059604645,2.3753284700594564,59.13999938964844,4194.830078125,1766,0.20000000298023224,2.5015571913929784,56.81999969482422,4417.75
LGA10130,8620.699,17.0,3.0,0.0,1.0,0.0,20.0,1.0,21.0,46613,-0.009999999776482582,0.2108295843233111,34.5099983215332,9827.3994140625,46614,0.05000000074505806,0.23406533830367487,41.060001373291016,10910.7216796875
LGA10250,484.9389,60.0,7.0,0.0,0.0,0.0,67.0,0.0,67.0,2576,0.09000000357627869,0.619945644591906,20.860000610351562,1596.97998046875,2576,0.12999999523162842,0.6508734566824776,23.889999389648438,1676.6500244140625
LGA10300,21690.6753,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,121835,0.07000000029802322,0.20166981086100053,10.460000038146973,24570.44140625,121835,0.10000000149011612,0.2598249072772602,10.84000015258789,31655.767578125
LGA10470,3817.8646,136.0,6.0,0.0,1.0,0.0,142.0,1.0,143.0,21325,0.05999999865889549,0.33409943306711604,48.869998931884766,7124.67041015625,21325,0.07999999821186066,0.3717627124853458,46.0099983215332,7927.83984375
LGA10550,6278.8811,79.0,7.0,0.0,0.0,0.0,86.0,0.0,86.0,36524,0.029999999329447746,0.19882735228462792,18.239999771118164,7261.97021484375,36524,0.11999999731779099,0.26966239771280526,14.729999542236328,9849.1494140625
LGA10600,1600.4337,14.0,1.0,0.0,1.0,0.0,15.0,1.0,16.0,8658,0.029999999329447746,0.21300877575291638,5.949999809265137,1844.22998046875,8658,0.05000000074505806,0.2411145840100918,5.159999847412109,2087.570068359375
LGA10650,2065.7759,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,11854,0.07999999821186066,0.2375839642736629,11.260000228881836,2816.3203125,11854,0.15000000596046448,0.29654800314635354,12.4399995803833,3515.280029296875
LGA10750,240.0487,2021.0,0.0,0.0,11.0,0.0,2021.0,11.0,2032.0,1345,1.059999942779541,16.021055994423794,98.58999633789062,21548.3203125,1345,1.2699999809265137,17.27464713057621,90.9000015258789,23234.400390625
LGA10800,8557.6535,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,48034,0.03999999910593033,0.19563185386913437,57.25,9396.98046875,48034,0.11999999731779099,0.2680859440058084,64.58000183105469,12877.240234375
LGA10850,1524.647,2.0,5.0,0.0,2.0,0.0,7.0,2.0,9.0,8530,0.10999999940395355,0.36283120695339977,111.33999633789062,3094.9501953125,8530,0.14000000059604645,0.3958933142676583,82.5999984741211,3376.969970703125
LGA10900,1431.1442,850.0,1.0,0.0,18.0,0.0,851.0,18.0,869.0,8030,0.11999999731779099,0.5726650062266501,25.510000228881836,4598.5,8030,0.10999999940395355,0.5729489147143524,23.360000610351562,4600.77978515625
LGA10950,14599.8996,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,79865,0.029999999329447746,0.1933719450400676,24.8700008392334,15443.650390625,79865,0.10999999940395355,0.25125561005290176,24.700000762939453,20066.529296875
LGA11100,21.6826,173.0,0.0,0.0,2.0,0.0,173.0,2.0,175.0,123,6.409999847412109,64.86805290904472,327.30999755859375,7978.7705078125,123,5.21999979019165,60.4819534425813,265.2300109863281,7439.2802734375
LGA11150,41599.5072,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,223969,0.009999999776482582,0.1783768938167782,26.010000228881836,39950.89453125,223969,0.09000000357627869,0.22970959429653212,22.040000915527344,51447.828125
LGA11200,19163.4798,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,103095,0.019999999552965164,0.16369748851180949,11.100000381469727,16876.392578125,103095,0.05000000074505806,0.23149243795164653,56.130001068115234,23865.712890625
LGA11250,170.1153,74.0,1.0,0.0,1.0,0.0,75.0,1.0,76.0,928,0.12999999523162842,2.2127585575498383,46.439998626708984,2053.43994140625,928,0.17000000178813934,2.475549632105334,44.79999923706055,2297.31005859375
LGA11300,7.1281,135.0,0.0,0.0,2.0,0.0,135.0,2.0,137.0,41,13.069999694824219,23.528537657202744,44.849998474121094,964.6700439453125,41,12.300000190734863,22.933170969893293,45.779998779296875,940.260009765625
LGA11350,565.8029,49.0,10.0,0.0,0.0,0.0,59.0,0.0,59.0,3008,0.07000000029802322,0.44397938505132145,17.950000762939453,1335.489990234375,3008,0.12999999523162842,0.4736203132791722,19.360000610351562,1424.64990234375
LGA11400,6022.3498,10.0,5.0,0.0,0.0,0.0,15.0,0.0,15.0,33530,0.05999999865889549,0.22426425787075008,17.299999237060547,7519.58056640625,33530,0.14000000059604645,0.2782791588223233,10.199999809265137,9330.7001953125
LGA11450,201.0281,570.0,0.0,0.0,1.0,0.0,570.0,1.0,571.0,1124,0.36000001430511475,5.220240039757562,56.540000915527344,5867.5498046875,1124,0.38999998569488525,6.211832392682385,55.04999923706055,6982.099609375
LGA11500,311.9111,1157.0,0.0,0.0,8.0,0.0,1157.0,8.0,1165.0,1755,0.25999999046325684,5.200353343126781,73.62000274658203,9126.6201171875,1755,0.30000001192092896,5.288051437856125,70.44999694824219,9280.5302734375
LGA11520,19.9233,355.0,0.0,0.0,4.0,0.0,355.0,4.0,359.0,114,6.980000019073486,16.783596105742873,48.95000076293945,1913.3299560546875,114,7.449999809265137,17.033860591419955,54.45000076293945,1941.860107421875
LGA11570,110.2638,2040.0,0.0,0.0,18.0,0.0,2040.0,18.0,2058.0,618,2.4800000190734863,19.527185730177994,79.52999877929688,12067.80078125,618,2.690000057220459,19.854125581512946,83.97000122070312,12269.849609375
LGA11600,18932.4603,,,,,,,,,105970,0.029999999329447746,0.19365312706426346,7.329999923706055,20521.421875,105970,0.09000000357627869,0.24694245718127772,7.320000171661377,26168.4921875
LGA11650,1681.0695,3151.0,0.0,0.0,14.0,2.0,3151.0,14.0,3165.0,9380,0.11999999731779099,1.3506823444163114,43.91999816894531,12669.400390625,9380,0.14000000059604645,1.4549647479677505,54.0,13647.5693359375
LGA11700,53492.1931,0.0,2.0,0.0,3.0,0.0,2.0,3.0,5.0,293544,-0.07000000029802322,0.18642467142915542,5.159999847412109,54723.84375,293524,0.05000000074505806,0.24515126957250513,5.96999979019165,71957.78125
LGA11720,1965.1589,702.0,0.0,0.0,2.0,0.0,702.0,2.0,704.0,10912,0.10999999940395355,0.5155507644250595,38.060001373291016,5625.68994140625,10912,0.10000000149011612,0.6023827158460868,61.90999984741211,6573.2001953125
LGA11730,10428.6803,185.0,8.0,0.0,1.0,2.0,193.0,1.0,194.0,55983,0.009999999776482582,0.20029352172199597,31.079999923706055,11213.0322265625,55984,0.03999999910593033,0.24470796064500572,20.270000457763672,13699.73046875
LGA11750,45579.3299,0.0,4.0,0.0,1.0,0.0,4.0,1.0,5.0,250222,0.05000000074505806,0.18847173085300253,33.43000030517578,47159.7734375,250222,0.09000000357627869,0.24294496799342183,22.18000030517578,60790.17578125
LGA11800,1173.7437,220.0,1.0,0.0,2.0,0.0,221.0,2.0,223.0,6329,0.05999999865889549,0.5587517528440512,37.22999954223633,3536.33984375,6329,0.10999999940395355,0.5644556709442645,29.489999771118164,3572.43994140625
LGA12000,2430.9037,20.0,6.0,0.0,1.0,0.0,26.0,1.0,27.0,13764,0.03999999910593033,0.1958522203529134,9.90999984741211,2695.7099609375,13764,0.14000000059604645,0.27815168093055254,10.199999809265137,3828.479736328125
LGA12150,9916.0536,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,53863,0.05999999865889549,0.20603791679817315,20.84000015258789,11097.8203125,53863,0.10999999940395355,0.24378405268342832,14.770000457763672,13130.9404296875
LGA12350,2808.7822,46.0,1.0,0.0,0.0,0.0,47.0,0.0,47.0,15746,0.07999999821186066,0.23743936332044646,21.149999618530273,3738.72021484375,15746,0.11999999731779099,0.287855317173806,20.670000076293945,4532.56982421875
LGA12380,71.5511,1371.0,0.0,0.0,10.0,0.0,1371.0,10.0,1381.0,402,5.289999961853027,26.82557184779229,100.0199966430664,10783.8798828125,402,5.909999847412109,26.847908893034827,100.9000015258789,10792.859375
LGA12700,2249.9983,27.0,0.0,0.0,6.0,0.0,27.0,6.0,33.0,12425,0.03999999910593033,0.22513080435739435,6.869999885559082,2797.250244140625,12425,0.10999999940395355,0.2647862959004024,7.260000228881836,3289.9697265625
LGA12730,8883.4464,15.0,2.0,0.0,0.0,0.0,17.0,0.0,17.0,50646,0.09000000357627869,0.2203123534558504,25.030000686645508,11157.939453125,50646,0.10000000149011612,0.2795442839451783,18.149999618530273,14157.7998046875
LGA12750,3428.1695,124.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,19731,0.03999999910593033,0.2322335510269373,23.1200008392334,4582.2001953125,19731,0.11999999731779099,0.30541127283050784,17.5,6026.06982421875
LGA12850,101.507,1192.0,0.0,0.0,6.0,1.0,1192.0,6.0,1198.0,573,1.2300000190734863,17.046980666448516,70.55000305175781,9767.919921875,573,2.0799999237060547,17.607242923756544,69.44999694824219,10088.9501953125
LGA12870,5685.0486,2.0,5.0,0.0,0.0,0.0,7.0,0.0,7.0,32537,0.05000000074505806,0.21931955891081692,27.829999923706055,7136.00048828125,32537,0.12999999523162842,0.28959707770192394,25.969999313354492,9422.6201171875
LGA12900,4710.128,50.0,2.0,0.0,0.0,0.0,52.0,0.0,52.0,26289,0.07999999821186066,0.22190498521244628,28.34000015258789,5833.66015625,26289,0.14000000059604645,0.2733808876811594,25.010000228881836,7186.91015625
LGA12930,38.3189,743.0,0.0,0.0,10.0,0.0,743.0,10.0,753.0,213,2.450000047683716,15.585164961120892,54.959999084472656,3319.64013671875,213,2.4700000286102295,16.926620268485916,67.27999877929688,3605.3701171875
LGA12950,4831.5057,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,26448,0.029999999329447746,0.20125530448308945,17.979999542236328,5322.80029296875,26448,0.11999999731779099,0.25183266087582235,20.389999389648438,6660.47021484375
LGA13010,5479.977,10.0,4.0,0.0,0.0,0.0,14.0,0.0,14.0,29400,0.019999999552965164,0.1888591989530187,23.690000534057617,5552.46044921875,29400,0.03999999910593033,0.22318334462691328,22.100000381469727,6561.59033203125
LGA13310,3220.0796,87.0,1.0,0.0,4.0,0.0,88.0,4.0,92.0,18299,0.05999999865889549,0.35481721913595005,70.63999938964844,6492.80029296875,18299,0.09000000357627869,0.41193176966637524,50.34000015258789,7537.939453125
LGA13340,5749.5185,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,33002,-0.029999999329447746,0.2183876728825147,14.399999618530273,7207.22998046875,33002,0.12999999523162842,0.2690112767786801,13.380000114440918,8877.91015625
LGA13450,1639.1728,56.0,1.0,0.0,1.0,0.0,57.0,1.0,58.0,9238,0.09000000357627869,0.40340440596923033,42.95000076293945,3726.64990234375,9238,0.11999999731779099,0.47925195819915023,71.5,4427.32958984375
LGA13510,3981.4173,5.0,6.0,0.0,1.0,0.0,11.0,1.0,12.0,22600,0.07999999821186066,0.2396119676438053,16.84000015258789,5415.23046875,22600,0.10000000149011612,0.2898353887237279,18.610000610351562,6550.27978515625
LGA13550,4987.0295,24.0,1.0,0.0,1.0,0.0,25.0,1.0,26.0,27138,0.07000000029802322,0.22318814514011717,17.610000610351562,6056.8798828125,27138,0.07999999821186066,0.25263358445146106,21.209999084472656,6855.97021484375
LGA13660,9259.6542,0.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,49658,0.029999999329447746,0.1804917510773692,15.229999542236328,8962.859375,49658,0.07000000029802322,0.20559085079443393,10.510000228881836,10209.23046875
LGA13800,2775.1377,547.0,0.0,0.0,5.0,0.0,547.0,5.0,552.0,15471,0.10999999940395355,0.4389341348329132,34.29999923706055,6790.75,15471,0.10000000149011612,0.4846099405743003,61.400001525878906,7497.400390625
LGA13850,11325.9324,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,63883,0.07000000029802322,0.20375047205438065,62.61000061035156,13016.19140625,63883,0.12999999523162842,0.38942095559460266,11.300000190734863,24877.37890625
LGA13910,7140.8863,0.0,6.0,0.0,1.0,0.0,6.0,1.0,7.0,40298,0.05000000074505806,0.2199858854270063,35.400001525878906,8864.9912109375,40298,0.10999999940395355,0.27475185357368853,32.43000030517578,11071.9501953125
LGA14000,455.0375,1054.0,0.0,0.0,14.0,0.0,1054.0,14.0,1068.0,2552,0.1599999964237213,1.7317007417589145,41.34000015258789,4419.30029296875,2552,0.17000000178813934,1.838605061593848,50.18000030517578,4692.1201171875
LGA14100,5.7169,102.0,0.0,0.0,0.0,0.0,102.0,0.0,102.0,32,5.369999885559082,11.472187042236328,21.729999542236328,367.1099853515625,32,5.130000114440918,12.063749313354492,20.299999237060547,386.03997802734375
LGA14170,35.3713,546.0,0.0,22.0,10.0,1.0,546.0,32.0,578.0,195,6.889999866485596,28.596717247596153,134.19000244140625,5576.35986328125,195,7.650000095367432,30.290306991185897,122.8499984741211,5906.60986328125
LGA14200,8597.2081,49.0,5.0,0.0,0.0,0.0,54.0,0.0,54.0,46013,0.03999999910593033,0.1882880755167018,26.459999084472656,8663.69921875,46013,0.07999999821186066,0.21781911073365137,30.6299991607666,10022.5107421875
LGA14300,2030.0222,46.0,1.0,0.0,1.0,0.0,47.0,1.0,48.0,11515,0.09000000357627869,0.2279817807275836,20.549999237060547,2625.210205078125,11515,0.14000000059604645,0.3133790758657186,49.31999969482422,3608.56005859375
LGA14350,3375.6707,101.0,1.0,0.0,1.0,0.0,102.0,1.0,103.0,18365,0.029999999329447746,0.2668352674925129,21.739999771118164,4900.4296875,18365,0.10000000149011612,0.2910405641675742,18.610000610351562,5344.9599609375
LGA14400,257.6636,192.0,0.0,0.0,5.0,0.0,192.0,5.0,197.0,1462,0.12999999523162842,0.6619424676438526,21.719999313354492,967.7598876953125,1462,0.14000000059604645,0.6707387107504702,17.25,980.6199951171875
LGA14500,85.4096,799.0,0.0,0.0,8.0,0.0,799.0,8.0,807.0,476,0.6100000143051147,5.7137394752823,24.030000686645508,2719.739990234375,476,0.6899999976158142,5.646596700203519,26.540000915527344,2687.780029296875
LGA14550,3584.1644,30.0,0.0,0.0,1.0,0.0,30.0,1.0,31.0,19049,0.05000000074505806,0.1964019241905743,10.34000015258789,3741.26025390625,19049,0.07999999821186066,0.2301722028961494,8.920000076293945,4384.55029296875
LGA14600,14964.2752,0.0,4.0,0.0,1.0,0.0,4.0,1.0,5.0,83101,0.029999999329447746,0.19401573226781266,15.380000114440918,16122.9013671875,83101,0.10000000149011612,0.25431633080528515,11.890000343322754,21133.94140625
LGA14650,648.6398,1994.0,0.0,0.0,9.0,0.0,1994.0,9.0,2003.0,3602,0.12999999523162842,1.9410437669176845,36.54999923706055,6991.6396484375,3602,0.17000000178813934,2.0675624273407136,45.709999084472656,7447.35986328125
